,tid,occupiedDwellings2006,singleDetached2006,semiDetached2006,rowHouses2006,apartmentInDuplex2006,apartmentLessThanFiveStories2006,apartmentMoreThanFiveStories2006,otherDwellings2006,averageNumRooms2006,averageValue2006,medianHouseholdIncome2006,medianRent2006,occupiedDwellings2011,singleDetached2011,semiDetached2011,rowHouses2011,apartmentInDuplex2011,apartmentLessThanFiveStories2011,apartmentMoreThanFiveStories2011,otherDwellings2011,averageNumRooms2011,averageValue2011,medianHouseholdIncome2011,medianRent,occupiedDwellings2016,singleDetached2016,semiDetached2016,rowHouses2016,apartmentInDuplex2016,apartmentLessThanFiveStories2016,apartmentMoreThanFiveStories2016,otherDwellings2016,averageNumRooms2016,averageValue2016,medianHouseholdIncome2016,medianRent2016
0,2050024.00,2565,34.7,6.4,0.4,16.2,27.5,14.8,0.0,5.7,178227,41043,665,3045,1005,210,25,390,735,675,0.0,5.6,232374,48312,784,3555,1020,225,65,405,740,1100,5.0,5.3,292627,55205,949
0,2050025.01,2045,22.0,8.3,6.4,4.2,30.1,23.2,6.1,5.8,179541,40235,650,2095,455,175,135,75,650,480,120.0,5.7,230158,41444,739,2070,430,175,150,65,660,460,125.0,5.4,237252,47072,810
0,2050025.02,2385,30.2,3.4,5.5,1.3,34.0,25.8,0.0,5.9,257003,46273,701,2430,700,95,145,45,870,575,0.0,5.8,283020,45134,724,2415,685,105,150,35,845,595,0.0,5.6,338670,50752,810
0,2050100.00,1230,39.8,19.5,4.1,4.9,27.2,0.0,5.7,6.0,120872,44359,625,1270,525,230,55,90,295,0,75.0,6.1,155535,49728,706,1725,510,230,60,95,660,100,70.0,5.6,193559,54528,1201
0,2050101.00,1720,26.5,7.0,0.9,6.7,41.6,8.7,8.7,5.3,150464,39223,661,1730,470,110,25,125,700,150,150.0,5.3,206460,41594,750,1720,465,110,25,110,710,150,150.0,5.1,207141,45888,832
0,2050102.00,2070,29.5,2.4,2.4,10.6,46.1,8.9,0.0,5.6,224727,44389,656,2180,600,70,70,205,1010,215,10.0,5.4,270969,44621,740,2410,590,65,75,205,1245,225,10.0,5.1,327949,57500,875
0,2050103.00,1885,44.8,13.8,6.6,6.6,27.9,0.0,0.5,7.1,193188,53386,660,1990,880,315,85,90,625,0,0.0,6.5,239150,60602,683,1940,870,310,85,95,575,0,0.0,6.7,265961,67904,869
0,2050104.01,870,78.2,8.0,0.0,1.7,5.2,0.0,6.3,7.1,175911,60727,728,900,700,65,0,10,60,5,65.0,7.2,192841,64651,734,880,680,60,0,10,65,5,60.0,6.8,210047,72384,929
0,2050104.02,2400,65.8,4.2,11.0,1.3,9.6,7.7,0.4,7.7,235911,74382,937,3265,1885,100,375,45,525,325,0.0,7.5,302476,84428,1309,3395,1865,105,420,45,640,320,0.0,7.3,335596,86480,1421
0,2050108.00,1900,48.7,1.1,2.1,1.3,23.7,22.9,0.0,6.6,266563,62442,861,2075,945,25,60,25,445,575,0.0,6.5,293761,61082,1011,2315,1005,25,60,15,530,670,0.0,6.4,359103,74002,1174
0,2050109.00,1695,44.5,1.8,0.0,8.3,27.7,17.4,0.0,5.7,194318,41306,642,1695,750,40,5,130,460,295,20.0,5.4,241927,44958,672,1690,765,40,5,155,445,280,5.0,5.5,271887,54848,828
0,2050110.00,935,15.0,1.6,6.4,9.1,36.9,31.6,0.0,4.5,204718,24784,586,900,120,15,65,75,300,325,0.0,4.4,270242,28382,645,835,135,15,65,65,315,240,0.0,4.7,309798,32333,731
0,2050111.00,1685,35.0,0.9,0.6,8.6,54.6,0.0,0.0,5.3,142499,35431,655,1670,565,30,10,145,925,0,5.0,5.3,194884,45218,746,1780,570,30,5,135,970,65,0.0,4.9,200508,45184,811
0,2050112.00,1010,25.7,4.0,6.4,3.0,57.9,0.0,3.0,5.0,116910,27846,560,1025,245,50,90,40,565,0,35.0,4.9,151431,38810,609,1090,235,65,105,50,600,0,35.0,4.7,178562,37696,706
