,tid,occupiedDwellings,singleDetached,semiDetached,rowHouses,apartmentInDuplex,apartmentLessThanFiveStories,apartmentMoreThanFiveStories,otherDwellings,averageNumRooms,averageValue,medianHouseholdIncome,medianRent
0,2050025.02,2385,30.2,3.4,5.5,1.3,34.0,25.8,0.0,5.9,257003,46273,701
0,2050025.01,2045,22.0,8.3,6.4,4.2,30.1,23.2,6.1,5.8,179541,40235,650
0,2050024.00,2565,34.7,6.4,0.4,16.2,27.5,14.8,0.0,5.7,178227,41043,665
0,2050017.00,975,64.6,1.0,1.0,6.2,25.1,2.6,0.0,7.2,344747,61874,647
0,2050016.00,1320,41.3,14.4,1.9,6.8,24.6,11.0,0.0,6.7,242734,62928,722
0,2050022.00,2830,27.7,2.8,10.6,8.3,26.5,24.0,0.0,5.7,187471,47163,685
0,2050023.00,1965,29.3,1.8,16.5,6.9,26.5,19.3,0.5,5.6,211287,35702,703
0,2050018.00,1920,39.8,1.6,0.0,6.0,22.4,29.9,0.0,5.5,262096,38319,683
0,2050015.00,2300,15.4,6.1,18.9,9.6,32.6,17.0,0.0,5.3,136526,34298,637
0,2050001.00,1440,52.1,10.4,16.3,10.1,10.8,0.0,0.7,6.8,148100,41323,475
0,2050014.00,1880,39.4,3.5,5.6,5.3,41.0,4.3,0.0,6.3,271381,58404,895
0,2050013.00,1100,59.5,0.0,0.0,9.1,24.1,5.9,0.0,6.8,402536,63586,701
0,2050019.00,2145,43.6,4.2,0.0,14.5,30.8,6.3,0.5,5.6,242024,46669,705
0,2050011.00,2605,27.1,2.1,2.5,20.5,35.9,10.6,1.0,5.5,303090,41943,891
0,2050002.00,2275,50.1,11.4,0.9,3.3,30.5,0.0,3.7,6.4,226552,40319,534
0,2050012.00,1055,42.7,0.9,0.9,23.7,30.8,0.0,0.9,6.5,413990,70539,892
0,2050006.00,1465,31.4,0.7,0.0,17.1,36.9,14.3,0.0,6.3,447079,57792,812
0,2050005.00,665,77.4,0.0,0.0,8.3,15.0,0.0,0.0,8.5,558133,117738,907
0,2050021.00,1490,29.9,1.0,18.1,14.4,29.2,6.4,0.0,5.5,223159,39848,533
0,2050020.00,960,21.4,4.7,3.1,19.8,48.4,1.6,2.1,5.0,282661,37908,720
0,2050003.00,1145,48.0,0.9,2.6,5.7,21.4,21.4,0.0,6.9,479064,72176,907
0,2050010.00,2530,4.9,5.9,15.0,2.4,29.2,39.9,2.4,4.4,250712,24800,650
0,2050007.00,1070,0.9,0.0,0.0,0.9,15.0,84.1,0.0,4.1,364430,39431,901
0,2050004.02,2510,3.2,0.6,0.0,2.0,39.0,54.6,0.4,4.0,378830,26722,761
0,2050009.00,1080,3.2,3.2,7.4,3.7,23.6,58.3,0.0,4.3,261402,37641,851
0,2050008.00,1525,0.7,0.0,1.6,0.7,26.9,69.8,0.7,4.2,315419,39604,"1,013"
0,2050004.01,2030,0.5,0.0,1.2,1.7,48.0,48.3,0.0,3.5,235254,29012,780
0,2050112.00,1010,25.7,4.0,6.4,3.0,57.9,0.0,3.0,5.0,116910,27846,560
0,2050111.00,1685,35.0,0.9,0.6,8.6,54.6,0.0,0.0,5.3,142499,35431,655
0,2050110.00,935,15.0,1.6,6.4,9.1,36.9,31.6,0.0,4.5,204718,24784,586
0,2050109.00,1695,44.5,1.8,0.0,8.3,27.7,17.4,0.0,5.7,194318,41306,642
0,2050108.00,1900,48.7,1.1,2.1,1.3,23.7,22.9,0.0,6.6,266563,62442,861
0,2050102.00,2070,29.5,2.4,2.4,10.6,46.1,8.9,0.0,5.6,224727,44389,656
0,2050101.00,1720,26.5,7.0,0.9,6.7,41.6,8.7,8.7,5.3,150464,39223,661
0,2050103.00,1885,44.8,13.8,6.6,6.6,27.9,0.0,0.5,7.1,193188,53386,660
0,2050100.00,1230,39.8,19.5,4.1,4.9,27.2,0.0,5.7,6.0,120872,44359,625
0,2050104.01,870,78.2,8.0,0.0,1.7,5.2,0.0,6.3,7.1,175911,60727,728
0,2050104.02,2400,65.8,4.2,11.0,1.3,9.6,7.7,0.4,7.7,235911,74382,937
