,tid,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65plus
0,2050025.02,185,435,485,390,325,315,320,365,305,280,280
0,2050025.01,230,385,385,370,310,265,260,325,320,280,280
0,2050024.00,295,685,905,705,530,395,440,550,530,390,390
0,2050017.00,175,190,155,175,165,215,220,230,210,185,185
0,2050016.00,150,335,320,325,265,225,250,295,270,235,235
0,2050022.00,175,440,585,580,400,325,290,355,345,355,355
0,2050023.00,240,500,560,385,290,270,245,290,275,220,220
0,2050018.00,160,275,315,250,185,190,225,275,275,275,275
0,2050015.00,200,320,415,395,335,310,305,385,425,360,360
0,2050001.00,250,225,205,270,295,300,255,280,280,230,230
0,2050014.00,165,190,190,210,215,240,215,325,335,345,345
0,2050013.00,165,230,190,135,145,155,210,200,195,180,180
0,2050019.00,175,455,650,490,340,295,295,355,310,335,335
0,2050011.00,265,1060,995,585,350,240,265,285,295,220,220
0,2050002.00,330,355,375,435,415,420,445,505,560,445,445
0,2050012.00,190,470,260,160,130,115,125,150,175,130,130
0,2050006.00,305,785,315,155,85,95,160,160,165,175,175
0,2050005.00,155,250,65,40,45,100,135,135,120,110,110
0,2050021.00,130,275,370,375,260,220,160,205,185,210,210
0,2050020.00,30,175,325,255,165,115,125,120,120,150,150
0,2050003.00,260,600,330,190,130,170,150,155,160,155,155
0,2050010.00,195,575,890,570,330,230,275,300,345,300,300
0,2050007.00,40,345,270,100,40,35,35,60,50,60,60
0,2050004.02,185,1410,960,420,205,130,120,125,135,205,205
0,2050009.00,50,405,605,360,220,130,105,105,60,85,85
0,2050008.00,160,755,565,255,105,90,95,115,110,115,115
0,2050004.01,85,1105,900,345,200,105,95,110,120,105,105
0,2050112.00,95,170,190,150,150,140,135,180,185,150,150
0,2050111.00,100,270,320,260,210,220,210,305,285,240,240
0,2050110.00,45,90,165,120,95,65,90,85,130,120,120
0,2050109.00,110,165,240,250,225,200,200,235,255,275,275
0,2050108.00,200,255,305,270,260,235,290,385,365,390,390
0,2050102.00,190,365,435,400,325,315,305,350,380,345,345
0,2050101.00,155,300,315,285,190,160,200,260,300,230,230
0,2050103.00,205,265,315,290,265,255,270,335,370,325,325
0,2050100.00,160,265,295,240,200,190,215,315,315,305,305
0,2050104.01,75,100,100,125,105,105,115,230,155,155,155
0,2050104.02,440,360,345,380,455,495,535,665,595,560,560
