,tid,Population2001,Population2006,Population2011,Population2016,PopulationChange2001-2006,PopulationChange2006-2011,PopulationChange2011-2016,TotalPrivateDwellings2006,TotalPrivateDwellings2011,TotalPrivateDwellings2016,OccupiedDwellings2006,OccupiedDwellings2011,OccupiedDwellings2006,PopulationDensity2006,PopulationDensity2011,PopulationDensity2016,Land2006,Land2011,Land2016,BornSince2001,bornSince2006,bornSince2011,HomePrices2006,RentPrices2006,HomePrices2011,RentPrices2011,HomePrices2016,RentPrices2016
0,2050025.02,5516,4879,4904,3868,-11.5,0.5,2.9,2548,2604,1658,2385,2430,1566,2523.5,2559.1,678.2,1.93,1.92,5.7,170,215,270,257003,701,283020,724,338670,810
0,2050100,3126,3087,8270,4863,-1.2,33.2,-0.8,1297,3363,2604,1232,3264,2416,523,1715.4,2542.5,5.9,4.82,1.91,135,395,225,120872,625,155535,706,193559,1201
0,2050101,3649,3433,3112,8522,-5.9,0.8,3,1845,1360,3447,1723,1271,3395,2096.4,528.8,1758.9,1.64,5.88,4.85,150,155,325,150464,661,206460,750,207141,832
0,2050102,4037,4191,4342,2015,3.8,-1.3,-1.5,2233,2058,907,2071,1992,877,3176.9,2309.5,1618.7,1.32,1.88,1.24,180,185,100,224727,656,270969,740,327949,875
0,2050103,4254,4401,2045,4726,3.5,-0.4,0.3,1971,905,2252,1885,898,2069,2338.8,1638.2,4501.4,1.88,1.25,1.05,185,65,290,193188,660,239150,683,265961,869
0,2050104.01,2179,2054,2763,3466,-5.7,4.6,1.4,887,2096,2659,872,1534,2239,1645.4,5472.4,7202.8,1.25,0.5,0.48,70,55,40,175911,728,192841,734,210047,929
0,2050104.02,4751,6210,3418,4771,30.7,4.9,2.6,2501,2595,3310,2401,2159,2770,1293.9,7106,9896.3,4.8,0.48,0.48,280,45,130,235911,937,302476,1309,335596,1421
0,2050108,4019,4140,3430,2014,3,-0.1,3.1,1972,1862,1270,1903,1728,1090,1822.4,2089.6,1223.7,2.27,1.64,1.65,155,170,105,266563,861,293761,1011,359103,1174
0,2050109,3373,3366,4298,3132,-0.2,2.6,4,1784,2342,1932,1694,2177,1782,2672.3,3259.5,3226.5,1.26,1.32,0.97,140,220,120,194318,642,241927,672,271887,828
0,2050110,1779,1684,4327,5301,-5.3,4.5,-2.2,987,2151,3053,939,2074,2730,2084.2,1907.4,1871.2,0.81,2.27,2.83,80,170,210,204718,586,270242,645,309798,731
0,2050111,3352,3214,3211,3314,-4.1,-4.6,-0.3,1836,1832,1729,1687,1694,1612,3327.8,2536.7,3780.5,0.97,1.27,0.88,130,150,195,142499,655,194884,746,200508,811
0,2050112,2407,1977,1584,2562,-17.9,-5.9,-3.9,1523,1016,1127,1010,899,1009,1212.4,1955.6,2564.3,1.63,0.81,1,115,90,50,116910,560,151431,609,178562,706
